NOM PROC : 0,49, %CPU : average:, %MEM : 0,67,
NOM PROC : 0, %CPU : veille,, %MEM : 0
NOM PROC : hi,, %CPU : 0,0, %MEM : wa,
NOM PROC : , %CPU : util,, %MEM : 674,5
NOM PROC : Mem, %CPU : util., %MEM : 510,2
NOM PROC : , %CPU : , %MEM : 
NOM PROC : COM., %CPU : %CPU, %MEM : %MEM
NOM PROC : account+, %CPU : 0,0, %MEM : 0,3
NOM PROC : avahi-d+, %CPU : 0,0, %MEM : 0,1
NOM PROC : cron, %CPU : 0,0, %MEM : 0,1
NOM PROC : dbus-da+, %CPU : 0,0, %MEM : 0,2
NOM PROC : low-mem+, %CPU : 0,0, %MEM : 0,2
NOM PROC : polkitd, %CPU : 0,0, %MEM : 0,4
NOM PROC : power-p+, %CPU : 0,0, %MEM : 0,3
NOM PROC : switche+, %CPU : 0,0, %MEM : 0,3
NOM PROC : systemd+, %CPU : 0,0, %MEM : 0,2
NOM PROC : udisksd, %CPU : 0,0, %MEM : 0,5
NOM PROC : avahi-d+, %CPU : 0,0, %MEM : 0,0
NOM PROC : psimon, %CPU : 0,0, %MEM : 0,0
NOM PROC : Network+, %CPU : 0,0, %MEM : 0,7
NOM PROC : wpa_sup+, %CPU : 0,0, %MEM : 0,2
NOM PROC : ModemMa+, %CPU : 0,0, %MEM : 0,4
NOM PROC : gdm3, %CPU : 0,0, %MEM : 0,3
NOM PROC : mariadbd, %CPU : 0,0, %MEM : 1,3
NOM PROC : upowerd, %CPU : 0,0, %MEM : 0,3
NOM PROC : colord, %CPU : 0,0, %MEM : 0,5
NOM PROC : gdm-ses+, %CPU : 0,0, %MEM : 0,4
NOM PROC : systemd, %CPU : 0,0, %MEM : 0,4
NOM PROC : (sd-pam), %CPU : 0,0, %MEM : 0,1
NOM PROC : pipewire, %CPU : 0,0, %MEM : 0,5
NOM PROC : wireplu+, %CPU : 0,0, %MEM : 0,6
NOM PROC : pipewir+, %CPU : 0,0, %MEM : 0,7
NOM PROC : gnome-k+, %CPU : 0,0, %MEM : 0,4
NOM PROC : dbus-da+, %CPU : 0,0, %MEM : 0,2
NOM PROC : gdm-way+, %CPU : 0,0, %MEM : 0,3
NOM PROC : gnome-s+, %CPU : 0,0, %MEM : 0,5
NOM PROC : gvfsd, %CPU : 0,0, %MEM : 0,3
NOM PROC : gvfsd-f+, %CPU : 0,0, %MEM : 0,2
NOM PROC : gcr-ssh+, %CPU : 0,0, %MEM : 0,2
NOM PROC : gnome-s+, %CPU : 0,0, %MEM : 0,2
NOM PROC : ssh-age+, %CPU : 0,0, %MEM : 0,2
NOM PROC : gnome-s+, %CPU : 0,0, %MEM : 0,6
NOM PROC : at-spi-+, %CPU : 0,0, %MEM : 0,3
NOM PROC : gnome-s+, %CPU : 0,0, %MEM : 8,9
NOM PROC : dbus-da+, %CPU : 0,0, %MEM : 0,2
NOM PROC : xdg-per+, %CPU : 0,0, %MEM : 0,3
NOM PROC : gnome-s+, %CPU : 0,0, %MEM : 0,4
NOM PROC : evoluti+, %CPU : 0,0, %MEM : 1,0
NOM PROC : goa-dae+, %CPU : 0,0, %MEM : 0,5
NOM PROC : gvfs-ud+, %CPU : 0,0, %MEM : 0,5
NOM PROC : evoluti+, %CPU : 0,0, %MEM : 0,8
NOM PROC : gvfs-gp+, %CPU : 0,0, %MEM : 0,3
NOM PROC : gvfs-mt+, %CPU : 0,0, %MEM : 0,3
NOM PROC : evoluti+, %CPU : 0,0, %MEM : 0,9
NOM PROC : goa-ide+, %CPU : 0,0, %MEM : 0,3
NOM PROC : gvfs-af+, %CPU : 0,0, %MEM : 0,3
NOM PROC : gvfs-go+, %CPU : 0,0, %MEM : 0,3
NOM PROC : at-spi2+, %CPU : 0,0, %MEM : 0,3
NOM PROC : gjs, %CPU : 0,0, %MEM : 0,8
NOM PROC : sh, %CPU : 0,0, %MEM : 0,0
NOM PROC : gsd-a11+, %CPU : 0,0, %MEM : 0,3
NOM PROC : gsd-col+, %CPU : 0,0, %MEM : 0,9
NOM PROC : gsd-dat+, %CPU : 0,0, %MEM : 0,4
NOM PROC : gsd-hou+, %CPU : 0,0, %MEM : 0,3
NOM PROC : ibus-da+, %CPU : 0,0, %MEM : 0,4
NOM PROC : gsd-key+, %CPU : 0,0, %MEM : 0,8
NOM PROC : gsd-med+, %CPU : 0,0, %MEM : 0,9
NOM PROC : gsd-pow+, %CPU : 0,0, %MEM : 0,9
NOM PROC : gsd-pri+, %CPU : 0,0, %MEM : 0,4
